id,name,player_link,team,team_link,age,number,position,height,weight,last_attended,country,birth_date,experience,draft
1,"Precious Achiuwa",https://www.nba.com/player/1630173/precious-achiuwa/,"Miami Heat ",https://www.nba.com/team/1610612748/heat/,21,"5 ",Forward,2,102,Memphis,Nigeria,1999-09-19,Rookie,"2020 R1 Pick 20"
2,"Jaylen Adams",https://www.nba.com/player/1629121/jaylen-adams/,NULL,NULL,24,NULL,Guard,2,102,"St. Bonaventure",USA,1996-05-04,2,Undrafted
3,"Steven Adams",https://www.nba.com/player/203500/steven-adams/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,27,"12 ",Center,2,120,Pittsburgh,"New Zealand",1993-07-20,7,"2013 R1 Pick 12"
4,"Bam Adebayo",https://www.nba.com/player/1628389/bam-adebayo/,"Miami Heat ",https://www.nba.com/team/1610612748/heat/,23,"13 ",Center-Forward,2,116,Kentucky,USA,1997-07-18,3,"2017 R1 Pick 14"
5,"LaMarcus Aldridge",https://www.nba.com/player/200746/lamarcus-aldridge/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,35,"12 ",Center-Forward,2,113,Texas,USA,1985-07-19,14,"2006 R1 Pick 2"
6,"Ty-Shon Alexander",https://www.nba.com/player/1630234/ty-shon-alexander/,"Phoenix Suns ",https://www.nba.com/team/1610612756/suns/,22,"0 ",Guard,2,88,Creighton,USA,1998-07-16,Rookie,Undrafted
7,"Nickeil Alexander-Walker",https://www.nba.com/player/1629638/nickeil-alexander-walker/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,22,"6 ",Guard,2,93,"Virginia Tech",Canada,1998-09-02,1,"2019 R1 Pick 17"
8,"Grayson Allen",https://www.nba.com/player/1628960/grayson-allen/,"Memphis Grizzlies ",https://www.nba.com/team/1610612763/grizzlies/,25,"3 ",Guard,2,90,Duke,USA,1995-10-08,2,"2018 R1 Pick 21"
9,"Jarrett Allen",https://www.nba.com/player/1628386/jarrett-allen/,"Cleveland Cavaliers ",https://www.nba.com/team/1610612739/cavaliers/,22,"31 ",Center,2,110,Texas,USA,1998-04-21,3,"2017 R1 Pick 22"
10,"Al-Farouq Aminu",https://www.nba.com/player/202329/al-farouq-aminu/,"Chicago Bulls ",https://www.nba.com/team/1610612741/bulls/,30,"5 ",Forward,2,100,"Wake Forest",USA,1990-09-21,10,"2010 R1 Pick 8"
11,"Kyle Anderson",https://www.nba.com/player/203937/kyle-anderson/,"Memphis Grizzlies ",https://www.nba.com/team/1610612763/grizzlies/,27,"1 ",Forward-Guard,2,104,UCLA,USA,1993-09-20,6,"2014 R1 Pick 30"
12,"Giannis Antetokounmpo",https://www.nba.com/player/203507/giannis-antetokounmpo/,"Milwaukee Bucks ",https://www.nba.com/team/1610612749/bucks/,26,"34 ",Forward,2,110,Filathlitikos,Greece,1994-12-06,7,"2013 R1 Pick 15"
