name,team,age,position,height,weight,last_attended,country,experience,ppg,rpg,apg,pie,birth_year,draft_year,draft_pick,age_drafted,bmi
"Precious Achiuwa","Miami Heat",21,Forward,2.03,102,Memphis,Nigeria,0,5,3.6,0.5,8.5,1999,2020,20,21,24.75187459050208
"Jaylen Adams",N/A,24,Guard,1.83,102,"St. Bonaventure",USA,2,0.3,0.4,0.3,-1.7,1996,Undrafted,Undrafted,22,30.457762250291136
"Steven Adams","New Orleans Pelicans",27,Center,2.11,120,Pittsburgh,"New Zealand",7,7.8,9,1.9,9.1,1993,2013,12,20,26.953572471417985
"Bam Adebayo","Miami Heat",23,Center-Forward,2.06,116,Kentucky,USA,3,19.1,9.3,5.2,16.8,1997,2017,14,20,27.335281364878877
"LaMarcus Aldridge","Brooklyn Nets",35,Center-Forward,2.11,113,Texas-Austin,USA,14,13.5,4.5,1.9,9.9,1985,2006,2,21,25.3812807439186
"Ty-Shon Alexander","Phoenix Suns",22,Guard,1.91,88,Creighton,USA,0,0.7,0.6,0.1,1.1,1998,Undrafted,Undrafted,22,24.12214577451276
"Nickeil Alexander-Walker","New Orleans Pelicans",22,Guard,1.98,93,"Virginia Tech",Canada,1,10.2,3.1,2,8.7,1998,2019,17,21,23.72206917661463
"Grayson Allen","Memphis Grizzlies",25,Guard,1.93,90,Duke,USA,2,11.4,3.2,2.2,8.9,1995,2018,21,23,24.161722462347985
"Jarrett Allen","Cleveland Cavaliers",23,Center,2.11,110,Texas-Austin,USA,3,12.9,9.9,1.6,14.4,1998,2017,22,20,24.70744143213315
"Al-Farouq Aminu","Chicago Bulls",30,Forward,2.03,100,"Wake Forest",USA,10,4.8,5,1.5,7.6,1990,2010,8,20,24.26654371617851
"Kyle Anderson","Memphis Grizzlies",27,Forward-Guard,2.06,104,UCLA,USA,6,12.2,5.9,3.7,12,1993,2014,30,21,24.507493637477616
"Giannis Antetokounmpo","Milwaukee Bucks",26,Forward,2.11,110,Filathlitikos,Greece,7,28.5,11.3,6,19.3,1994,2013,15,19,24.70744143213315
"Kostas Antetokounmpo","Los Angeles Lakers",23,Forward,2.08,91,Dayton,Greece,2,0.9,1.4,0.1,1.7,1997,2018,60,21,21.033653846153843
"Thanasis Antetokounmpo","Milwaukee Bucks",28,Forward,1.98,99,Panathinaikos,Greece,2,3.3,2.4,0.8,6.1,1992,2014,51,26,25.252525252525253
"Carmelo Anthony","Portland Trail Blazers",36,Forward,2.01,108,Syracuse,USA,17,13.6,3.2,1.6,8.6,1984,2003,3,19,26.732011583871692
"Cole Anthony","Orlando Magic",20,Guard,1.88,84,"North Carolina",USA,0,11.6,4.5,4.2,8.8,2000,2020,15,20,23.766410140334994
"OG Anunoby","Toronto Raptors",23,Forward,2.01,105,Indiana,"United Kingdom",3,15.1,5.6,2,9.5,1997,2017,23,20,25.989455706541925
"Ryan Arcidiacono","Chicago Bulls",27,Guard,1.91,88,Villanova,USA,3,3.1,1.6,1.4,7.2,1994,Undrafted,Undrafted,24,24.12214577451276
"Trevor Ariza","Miami Heat",35,Forward,2.03,98,UCLA,USA,16,8.2,4.2,1.7,6.8,1985,2004,43,19,23.78121284185494
"D.J. Augustin","Houston Rockets",33,Guard,1.8,83,Texas-Austin,USA,12,7,1.6,3.3,7.8,1987,2008,9,21,25.61728395061728
"Deni Avdija","Washington Wizards",20,Forward,2.06,95,"Maccabi Tel Aviv",Israel,0,6.3,4.9,1.2,6,2001,2020,9,20,22.38665284192667
"Deandre Ayton","Phoenix Suns",22,Center,2.11,113,Arizona,Bahamas,2,15,10.7,1.4,13.3,1998,2018,1,20,25.3812807439186
"Udoka Azubuike","Utah Jazz",21,Center-Forward,2.08,127,Kansas,Nigeria,0,1,1.1,0,6.1,1999,2020,27,21,29.354659763313606
"Dwayne Bacon","Orlando Magic",25,Guard-Forward,1.98,100,"Florida State",USA,3,10.4,3,1.2,6.6,1995,2017,40,22,25.507601265177023
"Marvin Bagley III","Sacramento Kings",22,Forward,2.11,107,Duke,USA,2,13.9,7.4,0.9,9.5,1999,2018,2,20,24.0336021203477
"LaMelo Ball","Charlotte Hornets",19,Guard,1.98,82,Illawarra,USA,0,15.9,5.9,6.1,12.3,2001,2020,3,19,20.91623303744516
"Lonzo Ball","New Orleans Pelicans",23,Guard,1.98,86,UCLA,USA,3,13.8,4.2,5.7,10,1997,2017,2,20,21.93653708805224
"Mo Bamba","Orlando Magic",22,Center,2.13,105,Texas-Austin,USA,2,6.9,4.7,0.5,12.2,1998,2018,6,20,23.14355617271706
"Desmond Bane","Memphis Grizzlies",22,Guard,1.96,98,TCU,USA,0,9.5,3.1,1.7,8.3,1998,2020,30,22,25.510204081632654
"Harrison Barnes","Sacramento Kings",28,Forward,2.03,102,"North Carolina",USA,8,15.9,6.6,3.5,10.6,1992,2012,7,20,24.75187459050208
"RJ Barrett","New York Knicks",20,Forward-Guard,1.98,97,Duke,Canada,1,17.4,5.6,2.9,9.5,2000,2019,3,19,24.742373227221712
"Will Barton","Denver Nuggets",30,Guard,1.98,82,Memphis,USA,8,12.9,4.1,3.3,7.6,1991,2012,40,22,20.91623303744516
"Keita Bates-Diop","San Antonio Spurs",25,Forward,2.03,104,"Ohio State",USA,2,2.3,1.2,0.4,9.3,1996,2018,48,23,25.237205464825653
"Nicolas Batum","LA Clippers",32,Guard-Forward,2.03,104,"Le Mans",France,12,8.4,4.9,2.3,8.8,1988,2008,25,20,25.237205464825653
"Aron Baynes","Toronto Raptors",34,Center-Forward,2.08,118,"Washington State",Australia,8,5.8,5.1,0.9,6.5,1986,Undrafted,Undrafted,26,27.274408284023664
"Kent Bazemore","Golden State Warriors",31,Guard-Forward,1.93,88,"Old Dominion",USA,8,6.7,3.1,1.6,7.7,1989,Undrafted,Undrafted,23,23.624795296518027
"Darius Bazley","Oklahoma City Thunder",20,Forward-Guard,2.03,94,"Princeton HS (OH)",USA,1,13,7.4,1.6,8.8,2000,2019,23,19,22.8105510932078
"Bradley Beal","Washington Wizards",27,Guard,1.91,94,Florida,USA,8,31,4.8,4.7,15,1993,2012,3,19,25.766837531865903
"Malik Beasley","Minnesota Timberwolves",24,Guard,1.93,85,"Florida State",USA,4,19.6,4.4,2.4,10.1,1996,2016,19,20,22.819404547773097
"Jordan Bell","Washington Wizards",26,Forward,2.03,98,Oregon,USA,3,3.5,4.8,1.3,8,1995,2017,38,23,23.78121284185494
"DeAndre' Bembry","Toronto Raptors",26,Guard-Forward,1.96,95,"St. Joseph's (PA)",USA,4,5.2,2.7,2,7.7,1994,2016,21,22,24.729279466888798
"Davis Bertans","Washington Wizards",28,Forward,2.08,102,Baskonia,Latvia,4,11.7,3,0.9,7.6,1992,2011,42,24,23.57618343195266
"Patrick Beverley","LA Clippers",32,Guard,1.85,82,Arkansas,USA,8,8,3.6,2.1,7,1988,2009,42,24,23.959094229364496
"Saddiq Bey","Detroit Pistons",22,Forward,2.01,98,Villanova,USA,0,11.4,4.1,1.2,8.8,1999,2020,19,22,24.256825326105798
"Tyler Bey","Dallas Mavericks",23,Forward,2.01,98,Colorado,USA,0,0.9,1.2,0.1,7.3,1998,2020,36,23,24.256825326105798
"Khem Birch","Toronto Raptors",28,Center,2.06,106,UNLV,Canada,3,5.7,5.2,1.1,8.4,1992,Undrafted,Undrafted,25,24.97879159204449
"Goga Bitadze","Indiana Pacers",21,Center-Forward,2.11,113,"Mega Basket",Georgia,1,5.1,3.2,0.7,9,1999,2019,18,20,25.3812807439186
"Bismack Biyombo","Charlotte Hornets",28,Center,2.03,116,"Baloncesto Fuenlabrada",DRC,9,5.3,5.2,1.3,6.8,1992,2011,7,19,28.149190710767073
"Nemanja Bjelica","Miami Heat",32,Forward,2.08,106,Fenerbahce,Serbia,5,6.1,3.4,1.7,8,1988,2010,35,27,24.500739644970412
"Eric Bledsoe","New Orleans Pelicans",31,Guard,1.85,97,Kentucky,USA,10,11.9,3.4,3.7,7.3,1989,2010,18,21,28.341855368882392
"Keljin Blevins","Portland Trail Blazers",25,Guard,1.93,91,"Montana State",USA,0,0.4,0.2,0.4,-3.8,1995,2019,,25,24.43018604526296
"Bogdan Bogdanovic","Atlanta Hawks",28,Guard,1.98,100,Fenerbahce,Serbia,3,14.5,3.7,3,10.2,1992,2014,27,25,25.507601265177023
"Bojan Bogdanovic","Utah Jazz",32,Forward,2.01,103,Fenerbahce,Croatia,6,15.5,3.9,1.9,8.6,1989,2011,31,26,25.494418454988743
"Bol Bol","Denver Nuggets",21,Center-Forward,2.18,100,Oregon,Sudan,1,2.5,0.8,0.3,7.5,1999,2019,44,20,21.041999831663997
"Marques Bolden",N/A,23,Center,2.08,113,Duke,USA,1,1.2,1,0,11.5,1998,2019,,22,26.118713017751478
"Jordan Bone",N/A,23,Guard,1.88,82,Tennessee,USA,1,4,1.7,1.3,6.7,1997,2019,57,22,23.20054323223178
"Isaac Bonga","Washington Wizards",21,Guard,2.03,82,"Skyliners Frankfurt",Germany,2,2.1,1.8,0.6,2.8,1999,2018,39,19,19.89856584726638
"Devin Booker","Phoenix Suns",24,Guard,1.96,93,Kentucky,USA,5,25.1,4.2,4.5,12.6,1996,2015,13,19,24.20866305705956
"Chris Boucher","Toronto Raptors",28,Forward-Center,2.06,91,Oregon,"Saint Lucia",3,13.6,6.7,1.1,13.4,1993,Undrafted,Undrafted,25,21.44405693279291
"Brian Bowen II","Indiana Pacers",22,Forward-Guard,1.98,86,"Sydney Kings",USA,1,0.5,0.5,0,4.5,1998,Undrafted,Undrafted,21,21.93653708805224
"Avery Bradley","Houston Rockets",30,Guard,1.91,82,Texas-Austin,USA,10,6.7,2.2,1.8,4.5,1990,2010,19,20,22.47745401715962
"Tony Bradley","Oklahoma City Thunder",23,Center-Forward,2.08,112,"North Carolina",USA,3,7.1,5.8,0.9,13.2,1998,2017,28,20,25.88757396449704
"Jarrell Brantley","Utah Jazz",24,Forward,1.96,113,"College of Charleston",USA,1,1.9,1,0.3,8.6,1996,2019,50,23,29.41482715535194
"Ignas Brazdeikis",N/A,22,Foward,1.98,100,Michigan,Canada,1,0.4,0.8,0.2,2.8,1999,2019,47,21,25.507601265177023
"Mikal Bridges","Phoenix Suns",24,Forward,1.98,95,Villanova,USA,2,13.1,4.4,2.2,9.6,1996,2018,10,22,24.232221201918172
"Miles Bridges","Charlotte Hornets",23,Forward,1.98,102,"Michigan State",USA,2,11.5,6,2.1,9.8,1998,2018,12,21,26.017753290480563
"Amida Brimah","Indiana Pacers",27,Center,2.08,104,Connecticut,USA,0,0,0,0,0,1994,Undrafted,Undrafted,27,24.038461538461537
"Oshae Brissett","Indiana Pacers",22,Forward-Guard,2.01,95,Syracuse,Canada,1,7.4,2.9,0.3,11.9,1998,Undrafted,Undrafted,21,23.514269448776027
"Malcolm Brogdon","Indiana Pacers",28,Guard,1.96,104,Virginia,USA,4,21.5,5.2,6,12.7,1992,2016,36,24,27.072053311120367
"Armoni Brooks","Houston Rockets",22,Guard,1.91,88,Houston,USA,0,7.7,3.6,1.1,8,1998,2019,,22,24.12214577451276
"Dillon Brooks","Memphis Grizzlies",25,Guard-Forward,2.01,102,Oregon,Canada,3,16.6,2.9,2.4,6.3,1996,2017,45,22,25.246899829212154
"Bruce Brown","Brooklyn Nets",24,Guard-Forward,1.93,92,Miami,USA,2,8.7,5.2,1.6,9.4,1996,2018,42,22,24.69864962817794
"Jaylen Brown","Boston Celtics",24,Guard-Forward,1.98,101,California,USA,4,24.5,5.8,3.4,13.2,1996,2016,3,20,25.762677277828793
"Moses Brown","Oklahoma City Thunder",21,Center,2.18,111,UCLA,USA,1,8.6,8.5,0.2,11.4,1999,Undrafted,Undrafted,20,23.356619813147038
"Sterling Brown","Houston Rockets",26,Guard-Forward,1.96,99,"Southern Methodist",USA,3,8.2,4.4,1.4,8.2,1995,2017,46,23,25.770512286547273
"Troy Brown Jr.","Chicago Bulls",21,Guard-Forward,1.98,98,Oregon,USA,2,4.7,3.1,0.9,6.7,1999,2018,15,19,24.997449239873482
"Jalen Brunson","Dallas Mavericks",24,Guard,1.85,86,Villanova,USA,2,12.8,3.6,3.5,12.3,1996,2018,33,22,25.127830533235937
"Thomas Bryant","Washington Wizards",23,Center-Forward,2.08,112,Indiana,USA,3,14.3,6.1,1.5,11.1,1997,2017,42,20,25.88757396449704
"Reggie Bullock","New York Knicks",30,Guard-Forward,1.98,93,"North Carolina",USA,7,10.2,3.4,1.5,7.2,1991,2013,25,23,23.72206917661463
"Trey Burke","Dallas Mavericks",28,Guard,1.83,84,Michigan,USA,7,6.5,0.9,1.3,8.1,1992,2013,9,21,25.082863029651524
"Alec Burks","New York Knicks",29,Guard,1.98,97,Colorado,USA,9,12.6,4.5,2.2,11.1,1991,2011,12,20,24.742373227221712
"Jimmy Butler","Miami Heat",31,Forward,2.01,104,Marquette,USA,9,21.4,7.2,7.3,18.7,1989,2011,30,22,25.741937080765336
"Bruno Caboclo",N/A,25,Foward,2.06,99,Pinheiros,Brazil,6,2.8,2.3,0.2,11.3,1995,2014,20,19,23.329248751060423
"Devontae Cacok","Los Angeles Lakers",24,Forward,2.01,109,"North Carolina-Wilmington",USA,1,2.2,1.8,0.1,13.2,1996,Undrafted,Undrafted,23,26.979530209648285
"Kentavious Caldwell-Pope","Los Angeles Lakers",28,Guard,1.96,93,Georgia,USA,7,9.7,2.7,1.6,6.7,1993,2013,8,21,24.20866305705956
"Facundo Campazzo","Denver Nuggets",30,Guard,1.78,88,Murcia,Argentina,0,5.2,1.7,2.8,6.5,1991,Undrafted,Undrafted,30,27.77427092538821
"Vlatko Cancar","Denver Nuggets",24,Forward,2.03,107,"San Pablo Burgos",Slovenia,1,1.5,1.1,0.3,6.3,1997,2017,49,23,25.965201776311005
"Devin Cannady","Orlando Magic",24,,1.88,83,Princeton,USA,0,4.9,0.7,0.1,6.6,1996,2019,,24,23.48347668628339
"Clint Capela","Atlanta Hawks",26,Center,2.08,109,"Elan Chalon",Switzerland,6,15.7,14.7,0.8,16.4,1994,2014,25,20,25.194156804733726
"Vernon Carey Jr.","Charlotte Hornets",20,Forward-Center,2.06,122,Duke,USA,0,2.6,1.5,0.1,7.6,2001,2020,32,20,28.74917522857951
"Jevon Carter","Phoenix Suns",25,Guard,1.85,91,"West Virginia",USA,2,3.8,1.5,1.1,7.6,1995,2018,32,23,26.588750913075234
"Wendell Carter Jr.","Orlando Magic",22,Center-Forward,2.08,122,Duke,USA,2,11.9,8.1,2,12,1999,2018,7,20,28.198964497041416
"Michael Carter-Williams","Orlando Magic",29,Guard,1.96,86,Syracuse,USA,7,8.8,4.5,4.2,6.4,1991,2013,11,22,22.38650562265723
"Alex Caruso","Los Angeles Lakers",27,Guard,1.93,84,"Texas A&M",USA,3,5.8,2.9,2.5,8.3,1994,Undrafted,Undrafted,24,22.550940964858118
"Willie Cauley-Stein","Dallas Mavericks",27,Center,2.13,109,Kentucky,USA,5,5.5,4.3,0.7,8.7,1993,2015,6,22,24.02521545548723
"Chris Chiozza","Brooklyn Nets",25,Guard,1.8,79,Florida,USA,2,4,1.1,3,9.3,1995,Undrafted,Undrafted,23,24.382716049382715
"Marquese Chriss",N/A,23,Foward,2.06,109,Washington,USA,4,6.5,6.5,1,11,1997,2016,8,19,25.68573852389481
"Gary Clark",N/A,26,Foward,1.98,102,Cincinnati,USA,2,3.2,3.1,0.8,4.4,1994,Undrafted,Undrafted,24,26.017753290480563
"Brandon Clarke","Memphis Grizzlies",24,Forward,2.03,98,Gonzaga,Canada,1,11,5.5,1.7,10.8,1996,2019,21,23,23.78121284185494
"Jordan Clarkson","Utah Jazz",28,Guard,1.93,88,Missouri,USA,6,17.5,4,2.1,11.3,1992,2014,46,22,23.624795296518027
"Nicolas Claxton","Brooklyn Nets",22,Forward-Center,2.11,98,Georgia,USA,1,6.6,5,1.1,10.5,1999,2019,31,21,22.012084184991355
"Amir Coffey","LA Clippers",23,Guard-Forward,2.01,95,Minnesota,USA,1,2.9,0.9,0.5,7.1,1997,Undrafted,Undrafted,22,23.514269448776027
"John Collins","Atlanta Hawks",23,Forward-Center,2.06,107,"Wake Forest",USA,3,17.8,7.7,1.4,12.6,1997,2017,19,20,25.21444056932793
"Zach Collins","Portland Trail Blazers",23,Forward-Center,2.11,113,Gonzaga,USA,3,7,6.3,1.5,5.4,1997,2017,10,20,25.3812807439186
"Mike Conley","Utah Jazz",33,Guard,1.85,79,"Ohio State",USA,13,16.2,3.4,5.9,12.8,1987,2007,4,20,23.08254200146092
"Pat Connaughton","Milwaukee Bucks",28,Guard,1.96,95,"Notre Dame",USA,5,7.1,4.9,1.2,8.2,1993,2015,41,23,24.729279466888798
"Quinn Cook",N/A,28,Guard,1.85,82,Duke,USA,4,3.3,0.7,0.8,9.8,1993,Undrafted,Undrafted,24,23.959094229364496
"Tyler Cook","Detroit Pistons",23,Forward,2.03,116,Iowa,USA,1,3.6,2.6,0.5,7.1,1997,Undrafted,Undrafted,22,28.149190710767073
"DeMarcus Cousins","LA Clippers",30,Center,2.08,122,Kentucky,USA,9,8.8,6.8,2.1,12.1,1990,2010,5,21,28.198964497041416
"Robert Covington","Portland Trail Blazers",30,Forward,2.01,95,"Tennessee State",USA,7,8.9,6.6,1.6,7.7,1990,Undrafted,Undrafted,23,23.514269448776027
"Torrey Craig","Phoenix Suns",30,Forward,2.01,100,"South Carolina Upstate",USA,3,4.4,3.4,0.9,8.7,1990,Undrafted,Undrafted,27,24.751862577658976
"Jae Crowder","Phoenix Suns",30,Forward,1.98,107,Marquette,USA,8,9.8,4.8,2.1,8.3,1990,2012,34,22,27.293133353739414
"Jarrett Culver","Minnesota Timberwolves",22,Guard-Forward,1.98,88,"Texas Tech",USA,1,5.3,3.1,0.7,5.7,1999,2019,6,21,22.44668911335578
"Seth Curry","Philadelphia 76ers",30,Guard,1.88,84,Duke,USA,6,12.1,2.1,2.8,7.5,1990,Undrafted,Undrafted,24,23.766410140334994
"Stephen Curry","Golden State Warriors",33,Guard,1.91,84,Davidson,USA,11,31.1,5.5,5.9,18.2,1988,2009,7,22,23.025684602944
"Nate Darling","Charlotte Hornets",22,Guard,1.98,91,Delaware,Canada,0,1.5,0.2,0.2,5.3,1998,Undrafted,Undrafted,22,23.21191715131109
"Anthony Davis","Los Angeles Lakers",28,Forward-Center,2.08,115,Kentucky,USA,8,21.8,8.2,3,15.8,1993,2012,1,20,26.58099112426035
"Ed Davis","Minnesota Timberwolves",31,Center-Forward,2.06,99,"North Carolina",USA,10,2.2,5.1,1,8.1,1989,2010,13,21,23.329248751060423
"Terence Davis","Sacramento Kings",23,Guard,1.93,91,Mississippi,USA,1,7.3,2,1.1,7.4,1997,Undrafted,Undrafted,22,24.43018604526296
"DeMar DeRozan","San Antonio Spurs",31,Guard-Forward,1.98,100,"Southern California",USA,11,21,4.4,7.1,14,1989,2009,9,20,25.507601265177023
"Gabriel Deck","Oklahoma City Thunder",26,Forward,1.98,105,"Real Madrid",Argentina,0,0,0,0,0,1995,Undrafted,Undrafted,26,26.782981328435874
"Dewayne Dedmon","Miami Heat",31,Center,2.13,111,"Southern California",USA,7,7.8,6,0.5,14.9,1989,Undrafted,Undrafted,24,24.466045096872318
"Matthew Dellavedova","Cleveland Cavaliers",30,Guard,1.91,91,"St.Mary's College of California",Australia,7,2.8,1.9,4.5,5.7,1990,Undrafted,Undrafted,23,24.94449165318933
"Donte DiVincenzo","Milwaukee Bucks",24,Guard,1.93,92,Villanova,USA,2,10.4,5.6,3.2,8.7,1997,2018,17,22,24.69864962817794
"Mamadi Diakite","Milwaukee Bucks",24,Forward,2.06,103,Virginia,Guinea,0,2.5,2.3,0.5,8.3,1997,Undrafted,Undrafted,24,24.271844660194176
"Hamidou Diallo","Detroit Pistons",22,Guard,1.96,92,Kentucky,USA,2,10.9,4.8,2,9.3,1998,2018,45,20,23.94835485214494
"Gorgui Dieng","San Antonio Spurs",31,Center,2.08,114,Louisville,Senegal,7,6.7,3.9,1.2,11.7,1990,2013,21,24,26.349852071005916
"Spencer Dinwiddie","Brooklyn Nets",28,Guard,1.96,98,Colorado,USA,6,6.7,4.3,3,10.2,1993,2014,38,22,25.510204081632654
"Luka Doncic","Dallas Mavericks",22,Forward-Guard,2.01,104,"Real Madrid",Slovenia,2,28.7,8,8.7,18.2,1999,2018,3,20,25.741937080765336
"Luguentz Dort","Oklahoma City Thunder",22,Guard,1.91,98,"Arizona State",Canada,1,13.9,3.6,1.6,6.6,1999,Undrafted,Undrafted,21,26.863298703434666
"Damyean Dotson","Cleveland Cavaliers",26,Guard,1.96,95,Houston,USA,3,6.5,2,2.1,7.6,1994,2017,44,23,24.729279466888798
"Devon Dotson","Chicago Bulls",21,Guard,1.88,84,Kansas,USA,0,1,0.5,0.3,13.5,1999,Undrafted,Undrafted,21,23.766410140334994
"Sekou Doumbouya","Detroit Pistons",20,Forward,2.03,104,Limoges,France,1,4,2.1,0.7,3.4,2000,2019,15,19,25.237205464825653
"PJ Dozier","Denver Nuggets",24,Guard-Forward,1.98,93,"South Carolina",USA,3,7.1,3.7,1.7,7.7,1996,Undrafted,Undrafted,21,23.72206917661463
"Goran Dragic","Miami Heat",34,Guard,1.91,86,"Union Olimpija",Slovenia,12,13.2,3.5,4.4,10.2,1986,2008,45,22,23.573915188728378
"Andre Drummond","Los Angeles Lakers",27,Center,2.08,127,Connecticut,USA,8,16.1,12.7,2.4,14.3,1993,2012,9,19,29.354659763313606
"Jared Dudley","Los Angeles Lakers",35,Forward,1.98,108,"Boston College",USA,13,0.5,1.7,0.5,5.7,1985,2007,22,22,27.548209366391184
"Kris Dunn","Atlanta Hawks",27,Guard,1.91,93,Providence,USA,4,7.3,3.6,3.4,8.2,1994,2016,5,23,25.492722238973712
